date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:39:07	119003/119003	---MCZ	200	added ('OK')	text/html	etag:W/%221d0db-vVAjJrmbZm9mORLnhWZ+O6Qn9pI%22	https://support.makerbot.com/learn/makerbot-desktop-software/release-notes/makerbot-desktop-release-notes_13520	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/learn/makerbot-desktop-software/release-notes/makerbot-desktop-release-notes_13520.html	(from https://support.makerbot.com/)
17:39:08	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2018%20Dec%202020%2016:39:08%20GMT	http://support.makerbot.com/troubleshooting/makerbot-replicatorplus/smart-extruderplus/im-having-trouble-loading-filament_12092	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/makerbot-replicatorplus/smart-extruderplus/im-having-trouble-loading-filament_12092	(from https://support.makerbot.com/)
17:39:08	62735/62735	---MCZ	200	added ('OK')	text/html	etag:W/%22f50f-+nbiyHswNWFocf9AI9mgw9eUoaA%22	https://support.makerbot.com/troubleshooting/orders-and-shipping/orders/how-do-i-check-my-order-status_11542	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/orders-and-shipping/orders/how-do-i-check-my-order-status_11542.html	(from https://support.makerbot.com/)
17:39:09	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2018%20Dec%202020%2016:39:09%20GMT	http://support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-81_12122	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-81_12122	(from https://support.makerbot.com/)
17:39:09	61351/61351	---MCZ	200	added ('OK')	text/html	etag:W/%22efa7-OuEMCqPDIVPR79kp43IpQv0N0kg%22	https://support.makerbot.com/troubleshooting/makerbot-replicatorplus/smart-extruderplus/im-having-trouble-loading-filament_12092	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/makerbot-replicatorplus/smart-extruderplus/im-having-trouble-loading-filament_12092.html	(from https://support.makerbot.com/)
17:39:09	220/220	---M--	302	error ('Found')	text/html	date:Fri,%2018%20Dec%202020%2016:39:09%20GMT	https://support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-81_12122	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-81_12122	(from https://support.makerbot.com/)
17:39:10	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2018%20Dec%202020%2016:39:10%20GMT	http://support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-57_12211	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-57_12211	(from https://support.makerbot.com/)
17:39:10	61829/61829	---MCZ	200	added ('OK')	text/html	etag:W/%22f185-1j/yVZmxTmaTnz/ho/ZhMjwFVv4%22	https://support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-81filament-jam-detected_12122	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-81filament-jam-detected_12122.html	(from https://support.makerbot.com/)
17:39:11	230/230	---M--	302	error ('Found')	text/html	date:Fri,%2018%20Dec%202020%2016:39:11%20GMT	https://support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-57_12211	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/makerbot-replicatorplus/error-codes/error-57_12211	(from https://support.makerbot.com/)
17:39:12	164/164	---M--	308	error ('Permanent%20Redirect')	text/html	date:Fri,%2018%20Dec%202020%2016:39:12%20GMT	http://support.makerbot.com/troubleshooting/makerbot-replicatorplus/setup/i-cant-connect-to-my-printer-usb_12175	C:/Users/EXC_TECH/Downloads/mkaerbot/support.makerbot.com/troubleshooting/makerbot-replicatorplus/setup/i-cant-connect-to-my-printer-usb_12175	(from https://support.makerbot.com/)
